Ürün Adı;Kısa Açıklama;Ürün Kodu
PredictCoreAI;"Geçmiş veriden Hizmet Seviyesi ihlallerini önceden tahmin eder. Riskli kayıtları ihlal gerçekleşmeden işaretler; ekip önlem almaya zaman bulur. Hizmet seviyesi raporlarınız kırmızıya düşmeden müdahale edersiniz. Sayfa: https://www.servicecore.com.tr/aicore/predictcore";SCAIPRD
ReportCoreAI;"Doğal dil ile rapor ve dashboard üretimi. Sorunuzu Türkçe yazın; rapor ve grafik saniyeler içinde hazır. Rapor için BT'ye gitmeye gerek kalmaz; yöneticiler cevabı anında alır. Sayfa: https://www.servicecore.com.tr/aicore/reportcore";SCAIRPT
SentimentCoreAI;"Kullanıcı mesajlarından duygu durumunu tespit eder. Memnuniyetsiz kullanıcıyı erken yakalar; kayıt krize dönüşmeden görünür olur. Ekip iletişim tonunu duruma göre ayarlar; memnuniyet ölçülebilir hâle gelir. Sayfa: https://www.servicecore.com.tr/aicore/sentimentcore";SCAISNT
KBCoreAI;"Eksik bilgi bankası içeriklerini kurumsal şablonlara göre düzenler. Bilgi bankanızı tarar; eksik ve şablon dışı makaleleri tespit eder. Eksik bölümleri geçmiş kayıtlardan besleyerek tamamlar; değişiklik editör onayıyla yayınlanır. Sayfa: https://www.servicecore.com.tr/aicore/kbcore";SCAIKBC
ToneCoreAI;"Teknisyen iletişimlerini analiz ederek kurumsal dil standardı sağlar. Yanıtların üslubunu kurumsal standarda göre değerlendirir; riskli ifadeleri işaretler. Müşteriyle iletişim her teknisyende aynı kalitede kalır. Sayfa: https://www.servicecore.com.tr/aicore/tonecore";SCAITON
StormCoreAI;Olay fırtınalarını tek bir bağlamda toplayarak teknisyenleri panik yükünden kurtarır. Büyük kesintide yağan yüzlerce kaydı tek olay altında toplar. Ekip alarm yağmuruna değil çözüme odaklanır. Sayfa: https://www.servicecore.com.tr/aicore/stormcore;SCAISTM
FlowCoreAI;"Metin komutlarıyla iş akışı şemaları otomatik oluşur. Süreci cümleyle anlatın; akış şeması hazır çıksın. İş akışı kurmak günler değil dakikalar alır. Sayfa: https://www.servicecore.com.tr/aicore/flowcore";SCAIFLW
DisCoreAI;"Akıllı keşif ve CMDB haritaları yaratır. Ağınızdaki varlıkları otomatik keşfeder, ilişkileriyle birlikte haritalar. Envanteriniz güncel kalır; varlık yönetimi tahminle değil veriyle yapılır. Sayfa: https://www.servicecore.com.tr/aicore/discovercore";SCAIDSC
TranslateCoreAI;Kullanıcı ve teknisyen iletişimini farklı dillerde anlık çevirir. Kullanıcı kendi dilinde yazar, teknisyen kendi dilinde okur. Çok uluslu ekiplerde dil bariyeri destek kalitesini düşürmez. Sayfa: https://www.servicecore.com.tr/aicore/translatecore;SCAITRN
VoiceCoreAI;"Sesli komutla ticket açma, durum sorgulama ve yönlendirme. Telefonla ya da mikrofonla konuşun; kayıt otomatik açılır. Sahada çalışan ekipler klavyeye dokunmadan işlem yapar. Sayfa: https://www.servicecore.com.tr/aicore/voicecore";SCAIVOC
CallCoreAI;Çağrı merkezi konuşmalarını anlık özetler ve aksiyona dönüştürür. Görüşme biterken özet ve yapılacaklar listesi hazırdır. Çağrı sonrası not yazma yükü ortadan kalkar. Sayfa: https://www.servicecore.com.tr/aicore/callcore;SCAICLL
VisionCoreAI;"Yüklenen ekran görüntülerinden hataları otomatik tespit eder. Kullanıcı ekran görüntüsü gönderir; hata mesajı otomatik okunur ve sınıflanır. 'Hatayı yazar mısınız?' devri kapanır; kayıt açılışı hızlanır. Sayfa: https://www.servicecore.com.tr/aicore/visioncore";SCAIVSN
ShiftCoreAI;İş yükünü analiz ederek vardiya planlamasını yapar. Yoğunluk tahminine göre doğru saatte doğru sayıda teknisyen planlanır. Ne boş bekleyen ekip kalır ne karşılanamayan talep. Sayfa: https://www.servicecore.com.tr/aicore/shiftcore;SCAISHF
AuditCoreAI;"ITIL ve ISO uyumluluğunu sürekli denetler. Süreçlerinizi sürekli tarar; uyumsuzlukları denetimden önce siz görürsünüz. Denetim hazırlığı haftalar değil saatler sürer. Sayfa: https://www.servicecore.com.tr/aicore/auditcore";SCAIAUD
AssetCoreAI;"Cihaz performansını analiz ederek yaşam döngüsünü yönetir. Hangi cihazın ne zaman yenilenmesi gerektiğini veriyle söyler. Arıza sürpriz olmaktan çıkar; bütçe planlı harcanır. Sayfa: https://www.servicecore.com.tr/aicore/assetcore";SCAIAST
VendorCoreAI;"Tedarikçi performansını skorlar ve risk uyarıları üretir. Tedarikçi hizmet seviyelerini sürekli izler; sorunlu tedarikçi erken görünür. Sözleşme görüşmelerine elinizde veriyle girersiniz. Sayfa: https://www.servicecore.com.tr/aicore/vendorcore";SCAIVND
ContractCoreAI;Sözleşme metinlerinden yenileme ve risk uyarıları çıkarır. Yenileme tarihleri ve riskli maddeler otomatik olarak takviminize düşer. Hiçbir sözleşme sessizce yenilenmez ya da gözden kaçmaz. Sayfa: https://www.servicecore.com.tr/aicore/contractcore;SCAICNT
BudgetCoreAI;"BT bütçe sapmalarını öngörür ve tasarruf senaryosu önerir. Harcama gidişatını izler; sapmayı gerçekleşmeden haber verir. Bütçe toplantısına tahminle değil öngörüyle girersiniz. Sayfa: https://www.servicecore.com.tr/aicore/budgetcore";SCAIBDG
CoachCoreAI;Teknisyen performansını analiz ederek kişiye özel gelişim önerir. Her teknisyenin güçlü ve gelişime açık yönlerini veriyle gösterir. Eğitim bütçesi herkese aynı değil, ihtiyaca göre harcanır. Sayfa: https://www.servicecore.com.tr/aicore/coachcore;SCAICCH
ProjectCoreAI;Proje ilerlemesini analiz ederek gecikmeleri tahmin eder. Riskli görevleri gecikme yaşanmadan işaretler. Proje sürprizle değil öngörüyle yönetilir. Sayfa: https://www.servicecore.com.tr/aicore/projectcore;SCAIPRJ
RisiCoreAI;Varlık, hizmet ve sözleşme verisini zafiyet bankalarıyla eşleştirerek BT risklerini otomatik analiz eden risk motoru. Hangi varlığınızın hangi bilinen zafiyetten etkilendiğini anında görürsünüz. Yama önceliği tahminle değil gerçek riskle belirlenir. Sayfa: https://www.servicecore.com.tr/aicore/risicore;SCAIRSK
AICORE Launch Ready Paketi;"AICore eklentileri için anahtar teslim kurulum hizmeti. Yapay zekâ sunucusunun kurulumundan kurumun kendi verisiyle kalibrasyona, ekip eğitiminden gözetimli canlıya alışa kadar uçtan uca devreye alma. Tipik süre 2-4 hafta; sonraki eklentiler aynı altyapıya çok daha hızlı eklenir. Sayfa: https://www.servicecore.com.tr/hizmetler/setup/aicore-launch-ready";SCAILRCP
AICORE Destek Paketleri;AICore eklentileri için Silver, Gold ve Platinum yıllık bakım paketleri. Sürüm güncellemeleri, her güncelleme sonrası otomatik doğrulama koşusu ve periyodik yeniden kalibrasyon tek abonelikte. Yapay zekânın yalnızca çalışır değil, isabetli kalması güvence altına alınır. Sayfa: https://www.servicecore.com.tr/hizmetler/support/aicore-destek;SCAIDSP
